BSM_BUSSTO,BSM_CHINES,geometry
4747,臺北郵局(撫臺�,POINT (121.51032 25.04605)
7247,明德路,POINT (121.520607459773 25.1101025402266)
1914,成功中學(林森),POINT (121.522910961971 25.0429420789769)
55013,東方寺,POINT (121.55896 25.12353)
20399,市立工農(正門),POINT (121.571830410745 25.0402492411126)
3995,慈航寺,POINT (121.496652338047 25.1448251095564)
2194,大我新舍,POINT (121.562436770113 25.0137570804531)
1715,興華路,POINT (121.605787937555 25.0558130579444)
4815,下菁礐,POINT (121.569618463883 25.1351781008098)
1500,市民光復路口,POINT (121.559101462591 25.0454376188849)
1398,懷生國小,POINT (121.542371490533 25.0443570636757)
20356,中崙,POINT (121.542732 25.047318)
1297,明勝里,POINT (121.5205 25.0798711722357)
5067,義方國小,POINT (121.50977 25.1419)
5979,福安消防隊,POINT (121.49455 25.0972916555285)
1000751,興隆路口(辛亥),POINT (121.555281498756 25.0017118295269)
1001325,內雙溪自然中�,POINT (121.577745 25.117197)
9469,半嶺,POINT (121.56888239021 25.118865998876)
1273,林森北路一,POINT (121.52484572085 25.0507383476109)
14671,捷運芝山站(福�,POINT (121.522678294477 25.1020082188363)
1000859,指南宮,POINT (121.58519947753 24.981344872654)
1586,微風廣場,POINT (121.54485031034 25.0446866206797)
1001441,菁山里(三),POINT (121.567575 25.140982)
684,石油新村,POINT (121.52595411045 25.106791424211)
6016,臥龍新村,POINT (121.563658242597 25.0123777795678)
14402,川瀨,POINT (121.56738 25.11631)
50407,週美里一,POINT (121.58197 25.056375)
1000257,新民路底,POINT (121.514253 25.141676)
865,新安,POINT (121.550038809773 25.1249684485591)
2313,捷運古亭站(杭�,POINT (121.521959 25.02884)
233,東昇路口,POINT (121.515774 25.141536)
1702,富德公墓,POINT (121.579329 25.012347)
203,北投垃圾焚化�,POINT (121.502414 25.11446)
6693,光華商場,POINT (121.53164956316 25.0460528030206)
1001090,錦州街口,POINT (121.530339 25.060858)
1848,二二八和平公�,POINT (121.512543916311 25.0423685522993)
161,日月農莊,POINT (121.569246025471 25.1793020493602)
4877,仙岩公園,POINT (121.549768540227 24.9973578505664)
569,士林,POINT (121.524279381093 25.0959118891448)
3986,濱江商圈,POINT (121.539174491929 25.066088498745)
4032,克勤新村,POINT (121.560532 25.025969)
212,奇岩一站,POINT (121.50455 25.123072)
20227,北投文物館,POINT (121.5142 25.138751)
1842,臺北護理健康�,POINT (121.503162897286 25.0415913139461)
8608,環山路,POINT (121.57136 25.086361)
1000913,萬金路口,POINT (121.486519753381 25.1093216738704)
14510,政大圖書館,POINT (121.57725606898 24.986461609207)
1032,行忠行愛路口,POINT (121.57901 25.06541)
55005,三重里,POINT (121.611220522915 25.0606203247631)
5055,南港抽水站,POINT (121.61237 25.06113)
4839,觀景台,POINT (121.51221 25.14825)
1264,明水路一,POINT (121.550748682607 25.0834724577343)
14629,榮光新村(榮總�,POINT (121.522957252384 25.120121015515)
9441,通北街口,POINT (121.541114 25.080795)
1000018,內湖派出所,POINT (121.590992 25.082457)
841,菁山里(三),POINT (121.567545 25.140873)
3990,復興中學,POINT (121.50003982457 25.140779616914)
1783,桂林路,POINT (121.501102766364 25.0383544871594)
14672,臺灣戲曲中心,POINT (121.519476 25.1020827701133)
2466,景福街,POINT (121.53635815593 24.9957806194452)
1890,臺北車站(青島),POINT (121.518405 25.04482)
20354,時報大樓,POINT (121.49716 25.03317)
2171,黎安里,POINT (121.564779 25.012322)
